Week,Used Minutes,Patients Registered
1,6537.03,133
2,3137.87,59
3,5189.97,105
4,5801.94,119
5,3389.71,73
6,4342.61,88
7,4352.41,88
8,5083.02,107
9,5442.01,112
10,3276.81,67
11,4628.75,104
12,5505.76,115
13,5719.89,120
14,4049.05,89
15,5144.37,99
16,4367.02,87
17,3926.89,72
18,3481.96,72
19,2226.65,43
20,2093.49,46
21,6045.06,127
22,5600.24,119
23,6075.22,119
24,5494.77,107
25,4469.08,86
26,6576.6,129
27,3748.67,77
28,4510.76,93
29,3720.26,80
30,4992.82,107
31,3947.66,82
32,4423.93,87
33,6255.72,124
34,4953.74,98
35,6026.03,123
36,6223.7,126
37,4416.67,87
38,5315.43,112
39,5726.28,119
40,5539.82,115
41,4599.09,89
42,4211.56,90
43,5269.02,116
44,6014.87,126
45,5035.0,103
46,4227.67,85
47,4086.94,90
48,4965.88,94
49,5219.65,102
50,4124.55,87
51,6340.23,126
52,5206.78,103
