Week,Used Minutes,Patients Registered
1,4165.0,82
2,4704.43,99
3,3003.4,66
4,4923.5,102
5,5101.25,107
6,4714.9,91
7,3600.85,71
8,4343.61,96
9,5408.17,111
10,4458.44,89
11,3961.19,78
12,6394.53,133
13,4024.67,86
14,4751.49,96
15,4739.2,92
16,4505.16,96
17,5789.63,115
18,4876.4,98
19,4234.32,93
20,4526.96,90
21,4931.96,102
22,4601.64,90
23,5643.29,114
24,5896.12,121
25,5033.99,108
26,3185.81,66
27,4287.34,93
28,6801.62,135
29,5173.1,106
30,2461.21,44
31,5807.6,116
32,5644.22,118
33,4794.89,93
34,4429.14,98
35,4876.88,104
36,5651.44,119
37,5939.18,127
38,4727.82,97
39,4177.84,82
40,5683.73,123
41,5429.58,108
42,4851.71,96
43,4355.41,87
44,5312.38,107
45,5565.08,116
46,5474.06,115
47,4384.45,89
48,3917.67,83
49,6123.43,122
50,4239.53,88
51,5401.74,109
52,4441.34,89
