Week,Used Minutes,Patients Registered
1,13095.99,240
2,12837.35,250
3,14901.46,271
4,10905.04,207
5,15113.06,267
6,16018.58,297
7,11959.49,227
8,10846.47,200
9,11819.98,221
10,11312.07,213
11,12884.56,252
12,16547.35,310
13,13341.54,252
14,13322.43,255
15,10028.01,201
16,11347.17,219
17,16234.74,304
18,12716.15,236
19,11827.46,220
20,11984.76,222
21,13099.29,238
22,13308.26,244
23,13259.87,257
24,14923.84,282
25,14027.22,267
26,13275.66,247
27,16031.81,320
28,10938.8,209
29,12060.56,233
30,13931.39,265
31,13444.88,250
32,12879.65,248
33,12451.86,245
34,14015.51,273
35,13664.25,269
36,13167.16,248
37,16483.83,307
38,16026.62,296
39,12804.36,248
40,10150.88,195
41,12350.85,239
42,14475.38,274
43,13800.31,255
44,14022.26,258
45,12315.83,223
46,13579.08,254
47,14576.2,277
48,11792.79,218
