Week,Used Minutes,Patients Registered
1,5897.15,120
2,4139.6,82
3,4854.4,102
4,5469.34,116
5,3855.7,81
6,3100.39,63
7,4550.82,93
8,4464.18,86
9,4300.77,91
10,4328.79,88
11,4296.71,92
12,3914.65,82
13,5139.94,106
14,3426.67,69
15,4911.04,102
16,5584.95,119
17,5138.11,115
18,5079.18,99
19,5501.37,117
20,5388.59,116
21,5101.94,106
22,4346.11,91
23,4849.46,95
24,4355.92,89
25,5733.92,114
26,5393.39,114
27,5099.61,98
28,5959.35,130
29,3537.21,79
30,5588.47,117
31,5111.11,99
32,4750.16,97
33,3251.14,63
34,3541.86,73
35,5718.46,115
36,5939.81,119
37,6648.35,137
38,4813.74,91
39,3541.39,75
40,5659.64,118
41,4943.71,105
42,4318.17,89
43,5823.87,120
44,4220.18,93
45,5506.77,123
46,2896.77,63
47,5401.5,102
48,5110.52,104
49,5960.27,128
50,4223.98,85
51,4268.7,86
52,5884.82,118
