Week,Used Minutes,Patients Registered
1,4055.94,87
2,4941.78,108
3,5480.84,116
4,3010.37,61
5,4137.32,88
6,5118.58,104
7,2649.99,57
8,5330.2,118
9,3339.0,69
10,4132.09,86
11,5458.08,114
12,3958.27,78
13,3884.38,79
14,4404.14,88
15,5871.2,125
16,5443.53,101
17,4788.61,95
18,5556.13,117
19,5185.86,109
20,5170.08,104
21,3905.69,83
22,2228.72,39
23,4496.58,92
24,4413.4,93
25,4051.55,82
26,4890.91,100
27,4309.05,95
28,4592.29,91
29,5384.45,116
30,4804.62,101
31,5557.47,112
32,4779.68,100
33,5465.05,116
34,4553.75,99
35,3216.43,67
36,5205.33,108
37,3946.96,84
38,5282.69,111
39,4024.05,81
40,3930.1,79
41,3708.14,81
42,4664.91,94
43,5966.97,118
44,5328.94,111
45,4995.5,105
46,3912.11,80
47,4967.22,102
48,6035.3,122
49,5782.53,118
50,3658.15,75
51,4700.6,98
52,6386.45,124
