Week,Used Minutes,Patients Registered
1,4321.21,94
2,4693.44,97
3,4004.87,78
4,4240.83,87
5,5174.34,105
6,4138.01,85
7,4343.59,84
8,4095.03,84
9,3642.13,70
10,6120.61,125
11,5634.68,117
12,6349.61,123
13,4340.74,98
14,5516.77,115
15,3360.19,71
16,3816.76,79
17,4428.72,99
18,5877.65,116
19,3364.41,67
20,4700.49,102
21,5700.8,118
22,4957.86,102
23,4065.55,83
24,5376.1,110
25,2446.14,49
26,3656.28,77
27,4553.06,91
28,3827.67,74
29,5058.28,105
30,5740.78,114
31,4246.96,90
32,5638.01,119
33,4866.0,100
34,2529.36,54
35,4441.27,97
36,4587.02,96
37,6644.63,135
38,4569.7,93
39,3937.82,82
40,5872.25,122
41,4561.89,98
42,4732.38,98
43,5256.16,111
44,5982.48,120
45,4798.65,95
46,4484.18,93
47,5405.51,108
48,5223.11,103
49,3802.08,78
50,3182.02,65
51,5008.02,98
52,6209.09,122
