Week,Used Minutes,Patients Registered
1,4431.86,94
2,4375.46,93
3,5982.24,121
4,4950.95,108
5,5603.75,116
6,3212.1,69
7,5550.77,114
8,4173.5,90
9,6055.23,125
10,5320.52,107
11,3785.67,79
12,4066.8,82
13,5502.16,112
14,3769.63,81
15,4254.33,85
16,5183.04,106
17,5841.14,118
18,5198.79,100
19,4712.59,96
20,3787.39,81
21,4816.69,96
22,5073.15,104
23,4945.18,98
24,5150.52,108
25,3453.59,74
26,5687.81,121
27,4904.47,96
28,3644.79,79
29,5834.03,122
30,5377.33,110
31,5389.28,110
32,5505.86,111
33,5291.89,111
34,6078.57,125
35,5478.22,112
36,6050.79,127
37,6068.13,123
38,6350.59,134
39,5553.54,119
40,4352.97,90
41,5989.05,129
42,4886.19,103
43,4736.4,98
44,5878.15,116
45,2383.16,50
46,4415.54,92
47,2256.65,48
48,5403.74,108
49,4609.49,91
50,4047.87,81
51,5708.97,121
52,3443.49,75
