Week,Used Minutes,Patients Registered
1,5798.17,116
2,4576.81,95
3,4692.03,97
4,4795.31,102
5,5471.35,111
6,4859.59,104
7,4001.77,83
8,5305.8,105
9,3808.78,76
10,5419.26,109
11,5776.18,117
12,4875.32,93
13,3999.4,84
14,4927.62,103
15,5230.51,111
16,5737.64,111
17,5792.74,122
18,4326.22,81
19,3770.46,77
20,3148.64,68
21,5982.11,125
22,4624.38,96
23,4577.65,97
24,5720.98,121
25,5369.41,107
26,4714.35,92
27,6106.22,127
28,6072.92,126
29,4763.56,102
30,5620.39,114
31,5904.63,116
32,3191.23,68
33,4642.99,102
34,5997.26,125
35,5363.46,103
36,5213.4,107
37,4456.88,95
38,2964.73,62
39,5547.23,111
40,5453.85,109
41,4542.82,95
42,3729.83,78
43,5827.4,117
44,5218.59,109
45,3929.8,81
46,3794.6,78
47,5296.52,111
48,4337.53,88
49,6042.44,124
50,4502.75,95
51,4729.24,101
52,4833.15,99
