Week,Used Minutes,Patients Registered
1,3445.14,73
2,4528.88,91
3,3745.52,81
4,5425.89,110
5,4594.29,95
6,4821.68,102
7,5299.32,107
8,5036.45,106
9,5749.58,117
10,5797.83,128
11,4888.52,105
12,4307.31,93
13,5083.3,105
14,4068.97,92
15,4380.65,90
16,4337.73,90
17,3971.5,82
18,6022.08,126
19,4035.04,79
20,3112.98,66
21,4965.42,101
22,3967.39,79
23,4161.65,85
24,5753.66,126
25,3886.42,78
26,4845.97,99
27,4832.16,100
28,3541.96,76
29,5484.14,107
30,4868.62,106
31,6109.02,125
32,3360.79,69
33,4586.89,101
34,4783.32,104
35,3774.29,77
36,4769.42,96
37,4003.17,81
38,5037.46,101
39,2500.06,50
40,4137.86,88
41,5263.39,108
42,4158.85,86
43,5808.25,113
44,3773.54,78
45,6243.17,124
46,3617.99,69
47,5730.72,118
48,4406.79,93
49,3596.69,77
50,4029.25,78
51,4505.77,95
52,5568.61,113
